Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),Category
02/25/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",747.0,537.0,1040.0,1379.0,720.0,1422.0,833.0,620.0,1118.0,791.0,526.0,1190.0,662.0,515.0,852.0,336.0,385.0,435.0,9
01/28/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1499.0,1307.0,1719.0,1544.0,1322.0,1804.0,804.0,714.0,914.0,568.0,233.0,1309.0,523.0,441.0,990.0,370.0,233.0,436.0,4
02/22/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1195.0,975.0,1464.0,798.0,443.0,1392.0,1215.0,1011.0,1459.0,902.0,394.0,1315.0,695.0,527.0,649.0,423.0,403.0,631.0,10
03/29/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1428.0,1180.0,1729.0,1417.0,1182.0,1698.0,1416.0,1204.0,1665.0,1583.0,1345.0,1862.0,1332.0,1148.0,1545.0,456.0,194.0,667.0,4
01/07/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",972.0,740.0,1276.0,983.0,771.0,1254.0,1107.0,853.0,1437.0,938.0,763.0,1154.0,821.0,641.0,1052.0,591.0,498.0,701.0,1
03/04/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1484.0,1216.0,1812.0,1480.0,1209.0,1812.0,1653.0,1458.0,1875.0,977.0,1153.0,1878.0,481.0,254.0,1227.0,998.0,231.0,576.0,4
03/30/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1410.0,1000.0,1988.0,1087.0,505.0,2104.0,416.0,445.0,2129.0,1672.0,1382.0,2024.0,1407.0,1117.0,1772.0,555.0,231.0,514.0,10
02/06/2019,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1032.0,759.0,1403.0,1012.0,782.0,1309.0,1494.0,968.0,2307.0,1062.0,814.0,1384.0,910.0,771.0,1075.0,737.0,538.0,1011.0,1
03/29/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",826.0,607.0,1126.0,871.0,786.0,964.0,991.0,750.0,1308.0,811.0,632.0,1041.0,741.0,549.0,1000.0,548.0,506.0,806.0,9
03/01/2019,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",931.0,639.0,1358.0,868.0,773.0,975.0,996.0,743.0,1335.0,1120.0,692.0,1811.0,742.0,585.0,940.0,504.0,415.0,613.0,9
